65,1 13 Oct 2020 Eldon Scott Henderson Park ,Phainopepla nitens 
66,1 13 Oct 2020 Eldon Scott Henderson Park ,Spinus psaltria 
67,3 13 Oct 2020 Eldon Scott Henderson Park ,Junco hyemalis 
68,1800 13 Oct 2020 Carla Mingione San Luis Reservoir State Recreation Area (California) ,Oxyura jamaicensis 
69,3 13 Oct 2020 Carla Mingione San Luis Reservoir State Recreation Area (California) ,Aechmophorus occidentalis 
70,1 13 Oct 2020 Carla Mingione San Luis Reservoir State Recreation Area (California) ,Circus hudsonius 
71,1 13 Oct 2020 Carla Mingione San Luis Reservoir State Recreation Area (California) ,Lanius ludovicianus 
72,8 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Aythya affinis 
73,1 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Larus californicus 
74,2 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Egretta thula 
75,1 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Dryobates pubescens 
76,1 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Falco sparverius 
77,1 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Tyrannus verticalis 
78,4 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Corvus brachyrhynchos 
79,2 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Polioptila caerulea 
80,2 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Thryomanes bewickii 
81,2 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Melospiza melodia 
82,2 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Melozone crissalis 
83,1 13 Oct 2020 Dorian Anderson O'Neill Forebay Wildlife Area ,Leiothlypis celata 
84,4 13 Oct 2020 Dale Swanberg Henderson Park ,Aix sponsa 
85,1 13 Oct 2020 Dale Swanberg Henderson Park ,Ardea herodias 
86,1 13 Oct 2020 Dale Swanberg Henderson Park ,Megaceryle alcyon 
87,1 13 Oct 2020 Dale Swanberg Henderson Park ,Falco peregrinus 
88,3 13 Oct 2020 Dale Swanberg Henderson Park ,Turdus migratorius 
89,32 13 Oct 2020 Dale Swanberg Henderson Park ,Bombycilla cedrorum 
90,1 13 Oct 2020 Dale Swanberg Henderson Park ,Zonotrichia atricapilla 
91,2 12 Oct 2020 Cara Barnhill Merced NWR--Auto Loop ,Elanus leucurus 
92,1 12 Oct 2020 Cara Barnhill Merced NWR--Auto Loop ,Anthus rubescens 
93,1 11 Oct 2020 Janet Tashjian Hanson Merced NWR--Auto Loop ,Accipiter cooperii 
94,10 11 Oct 2020 John Robinson Henderson Park ,Columba livia 
95,4 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Branta hutchinsii 
96,3 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Spatula discors 
97,3 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Gallinula galeata 
98,162 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Limnodromus scolopaceus 
99,1 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Accipiter striatus 
100,2 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Eremophila alpestris 
101,6 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Petrochelidon pyrrhonota 
102,2 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Psaltriparus minimus 
103,1 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Troglodytes aedon 
104,1 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Toxostoma redivivum 
105,1 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Spinus lawrencei 
106,3 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Spinus tristis 
107,1 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Quiscalus mexicanus 
108,2 11 Oct 2020 Ralph Baker Merced NWR--Auto Loop ,Geothlypis trichas 
109,"15 10 Oct 2020 Chuq Von Rospach Merced National Wildlife Refuge, Merced US-CA 37.18251, -120.62068 ",Calidris mauri 
110,X 10 Oct 2020 Chuq Von Rospach San Luis NWR--Waterfowl Tour Route - south leg ,Tachycineta thalassina 
111,"2 10 Oct 2020 Eric VanderWerf I-5 N, Los Banos US-CA 36.91911, -120.82830 ",Mergus merganser 
112,1 10 Oct 2020 Matt Davis Merced NWR ,Calidris alpina 
113,1 10 Oct 2020 Matt Davis Merced NWR ,Nycticorax nycticorax 
114,4 10 Oct 2020 Matt Davis Merced NWR ,Molothrus ater 
115,2 9 Oct 2020 Dale Swanberg Lake Yosemite ,Phalaenoptilus nuttallii 
116,1 9 Oct 2020 Dale Swanberg Lake Yosemite ,Pyrocephalus rubinus 
117,1 9 Oct 2020 Dale Swanberg Lake Yosemite ,Zonotrichia albicollis 
118,1 9 Oct 2020 Dale Swanberg Lake Yosemite ,Cardellina pusilla 
119,1 9 Oct 2020 Ronald McDow Merced NWR--Auto Loop ,Aquila chrysaetos 
120,1 9 Oct 2020 Ronald McDow Merced NWR--Auto Loop ,Falco columbarius 
121,1 9 Oct 2020 Ralph Baker Henderson Park ,Melanerpes lewis 
122,1 9 Oct 2020 Ralph Baker Henderson Park ,Sitta canadensis 
123,1 9 Oct 2020 Ralph Baker Henderson Park ,Haemorhous purpureus 
124,22 9 Oct 2020 Ralph Baker Henderson Park ,Spizella passerina 
125,1 9 Oct 2020 Ralph Baker Henderson Park ,Spizella pallida 
126,"1 9 Oct 2020 Gerson Josue Castellanos Portillo San Luis Reservoir State Recreation Area, Los Baños US-CA 37.10372, -121.12708 ",Buteo regalis 
127,1 8 Oct 2020 Kit DeGear Merced NWR ,Phasianus colchicus 
128,1 8 Oct 2020 Ronald McDow San Luis NWR ,Bubulcus ibis 
129,2 8 Oct 2020 Ronald McDow San Luis NWR ,Stelgidopteryx serripennis 
130,2 8 Oct 2020 Ronald McDow San Luis NWR ,Xanthocephalus xanthocephalus 
131,2 7 Oct 2020 Ronald McDow Merced NWR--Auto Loop ,Aythya collaris 
132,1 7 Oct 2020 Jim Gain Henderson Park ,Vireo huttoni 
133,1 6 Oct 2020 Dale Swanberg Henderson Park ,Setophaga nigrescens 
134,1 6 Oct 2020 Sam Fellows Merced NWR--Auto Loop ,Calidris melanotos 
135,14 6 Oct 2020 Ralph Baker Henderson Park ,Callipepla californica 
136,1 6 Oct 2020 Ralph Baker Henderson Park ,Setophaga petechia 
137,1 6 Oct 2020 Dale Swanberg San Luis Reservoir SRA--San Luis Creek Campground ,Tyrannus vociferans 
138,1 6 Oct 2020 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Empidonax difficilis 
139,4 6 Oct 2020 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Pica nuttalli 
140,3 6 Oct 2020 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Catharus guttatus 
141,1 6 Oct 2020 D Krajnovich Lake Yosemite Co. Park ,Botaurus lentiginosus 
142,3 5 Oct 2020 Dale Swanberg Henderson Park ,Actitis macularius 
143,1 5 Oct 2020 Dale Swanberg Henderson Park ,Sphyrapicus ruber 
144,1 4 Oct 2020 Dale Swanberg E Raynor Ranch Rd. ,Salpinctes obsoletus 
145,2 4 Oct 2020 Dale Swanberg E Raynor Ranch Rd. ,Pooecetes gramineus 
146,1 4 Oct 2020 D Krajnovich Lake Yosemite Co. Park ,Oreoscoptes montanus 
147,1 3 Oct 2020 Sam Fellows Merced NWR--Auto Loop ,Buteo swainsoni 
