name, ottid, sources, flags
Hemiarcherellidae, 8011566, gbif:9418208, unplaced,barren
Dendrograptidae, 4940465, gbif:3243139,irmng:100298, major_rank_conflict,extinct
Plutoniidae, 6483, ncbi:216420, unplaced
Stictodiscaceae, 4026150, worms:414895,gbif:4248,irmng:109158, unplaced_inherited,extinct_inherited
Paramyxidae, 5282545, gbif:4897035,irmng:112851, sibling_higher,barren
Spaniidae, 5036767, gbif:6925,irmng:105722, sibling_higher,barren
Dinomischidae, 4720053, gbif:4579326,irmng:101385, major_rank_conflict,extinct,barren
Eremochaetidae, 5036785, gbif:3264309,irmng:103133, sibling_higher,extinct
Schimmelmanniaceae, 7059520, ncbi:2083072,gbif:10272590, sibling_higher,merged,barren
Stenothecidae, 4968840, worms:833706,gbif:3246233,irmng:111540, incertae_sedis_inherited,extinct
Thoreaceae, 349379, ncbi:67959,worms:381051,gbif:4952,irmng:107783, sibling_higher,merged,barren
Tricoleidae, 4664298, gbif:4802225,irmng:101688, sibling_higher,extinct,barren
Isculitidae, 2871241, gbif:4623132,irmng:112555, sibling_higher,extinct
Rhogostomidae, 7529863, ncbi:2004844, merged,barren
Ocelliidae, 3510819, gbif:4683262,irmng:107010, sibling_higher,extinct,barren
Trichorhynchidae, 4923859, irmng:113393, sibling_higher,hidden,barren
Ichthyosporidiidae, 6376484, worms:889982,gbif:7795061, sibling_higher,merged,barren
Mychodeaceae, 1064663, ncbi:50886,worms:368773,gbif:4937,irmng:107853, sibling_higher,merged,barren
Archaeometidae, 5127376, gbif:6880288,irmng:120410, sibling_higher,extinct
Hsuidae, 4019725, gbif:4900559,irmng:118207, sibling_higher,extinct
Kyphosichthyidae, 7653695, gbif:9615708, major_rank_conflict,extinct
Straeleniellidae, 4664288, gbif:4682966,irmng:112905, sibling_higher,extinct
Dictyospongiidae, 2833455, gbif:4580972,irmng:102767, major_rank_conflict,extinct
Tetrathecidae, 2925528, gbif:4863664, major_rank_conflict
Phymosomatidae, 531394, ncbi:41316,worms:510802,gbif:3249548,irmng:117102, extinct
Linoteranidae, 7679753, gbif:9264944, sibling_higher,barren
Ciliofaureidae, 5654843, gbif:7974042, barren
Chiastozygaceae, 4920118, irmng:116778, sibling_higher,hidden,extinct
Anomalocystidae, 3658223, gbif:4877651,irmng:104175, major_rank_conflict,extinct,barren
Pinheirodontidae, 3615677, gbif:4831439,irmng:118430, major_rank_conflict,extinct
Cimberidae, 6138284, gbif:7723975, major_rank_conflict,barren
Dorsetichthyidae, 7653647, gbif:9091764, major_rank_conflict
Eleginopsidae, 5856769, worms:267021, merged,barren
Farewelliidae, 5673519, worms:834059,gbif:8341431, incertae_sedis_inherited,extinct
Archaeolepidae, 4326899, gbif:4703399,irmng:102808, sibling_higher,extinct
Xiushuiaspidae, 6376291, gbif:8514978, major_rank_conflict,extinct
Trigonolestidae, 3617109, gbif:4971421, major_rank_conflict,extinct,barren
Paleomeridae, 3581692, gbif:4632823,irmng:103198, major_rank_conflict,extinct
Hamulinidae, 2868968, gbif:4626846,irmng:118016, sibling_higher,extinct
Hyphodermataceae, 463256, ncbi:68798,gbif:3564643, merged,barren
Patelliconidae, 2927258, worms:833692,gbif:4948016,irmng:119843, incertae_sedis,extinct,barren
Pleurostomellidae, 4803537, ncbi:1696526,worms:111943,gbif:7485434,irmng:115148, sibling_higher,extinct
Nardorexidae, 3629367, gbif:4839560,irmng:118757, sibling_higher,extinct,barren
Auloporidae, 5142216, worms:380372,gbif:3250557,irmng:118978, incertae_sedis_inherited,extinct
Morosauridae, 6149420, gbif:8453076, sibling_higher,extinct,barren
Celluliporidae, 4151876, gbif:4856823,irmng:103319, sibling_higher,extinct,barren
Diploposthidae, 5138090, worms:380403,gbif:5962,irmng:120892, sibling_higher,barren
Cyrtonellidae, 4965863, gbif:3246205,irmng:103445, major_rank_conflict,extinct
Nothogomphodontidae, 6373089, gbif:8654533, major_rank_conflict,extinct,barren
Technophoridae, 2923501, gbif:4620714,irmng:112040, major_rank_conflict,extinct
Hystrichosphaeridiaceae, 4924438, gbif:8937516,irmng:103308, sibling_higher,extinct
Revalotrypidae, 4152189, gbif:4856495,irmng:104657, extinct
Amblyommidae, 4702600, gbif:4663527,irmng:118148, sibling_higher,barren
Caeciliaidae, 6138156, gbif:4287333, major_rank_conflict,barren
Euplotidae, 975960, ncbi:100127,worms:179274,gbif:7575660,irmng:113005, sibling_higher,inconsistent,barren
Protodriloididae, 5673526, ncbi:1649657,worms:155531,gbif:6280,irmng:119474, hidden_inherited
Triceratiaceae, 85894, ncbi:210587,worms:149049,gbif:3306,irmng:106155, sibling_higher,merged,barren
Pselliodidae, 3516943, gbif:4082, merged,barren
Triassoblattidae, 5020252, gbif:6880489,irmng:120368, sibling_higher,extinct
Maeandrostiidae, 2834039, gbif:4583312,irmng:117529, extinct
Chresmodidae, 4664693, gbif:4770241,irmng:102265, sibling_higher,extinct
Atopocrinidae, 5307824, worms:711473,gbif:8048977,irmng:121382, incertae_sedis,extinct_inherited
Sinocapsaceae, 7012388, ncbi:2594591, incertae_sedis
Schwagerinidae, 4803077, worms:720922,gbif:7634792,irmng:112057, incertae_sedis_inherited,extinct
Aphelecrinidae, 6162301, gbif:8601412, major_rank_conflict,extinct
Francodinidae, 7667410, gbif:9311423, major_rank_conflict,barren
Plateosauravidae, 4143775, gbif:4967244, sibling_higher,extinct,barren
Mosaethyrididae, 4969966, gbif:6880486,irmng:119992, sibling_higher,extinct
Gasterocomidae, 3648586, gbif:4873110,irmng:117512, major_rank_conflict
Cycladidae, 6138427, gbif:7382397, major_rank_conflict,barren
Leptopidae, 7875906, gbif:9781649, sibling_higher,barren
Polzbergiidae, 6373426, gbif:8550455, major_rank_conflict
Parabirojimidae, 37304, ncbi:708249, sibling_higher,merged,barren
Volutodermatidae, 5693116, worms:834086,gbif:8095741, extinct
Maennilicrinidae, 6162662, gbif:8447442, major_rank_conflict,extinct,barren
Archaeoacanthocircidae, 4004844, gbif:4908796,irmng:119182, extinct
Fryxellodontidae, 4140818, gbif:4842304,irmng:102626, major_rank_conflict,extinct,barren
Podagrionidae, 6287535, gbif:7638767, sibling_higher,barren
Hermatostromatidae, 2842978, gbif:4580319,irmng:103496, major_rank_conflict,extinct
Paracercomonadidae, 5279572, gbif:8394652,irmng:120737, sibling_higher,barren
Parvikirkbyiidae, 6191175, gbif:8561714, sibling_higher,extinct_inherited,barren
Lapideacassaceae, 4023732, irmng:117142, incertae_sedis,hidden,extinct,barren
Mcconichthyidae, 4134238, gbif:4838721,irmng:102845, sibling_higher,extinct,barren
Aviculopectinidae, 2865211, worms:833173,gbif:4586904,irmng:112361, extinct
Homothetidae, 6323742, gbif:8624391, sibling_higher,extinct_inherited
Buchiidae, 4968694, worms:833191,gbif:3248163,irmng:100741, extinct
Protoischnuridae, 5124487, gbif:6880638,irmng:120192, sibling_higher,extinct
Permohymenidae, 4664675, gbif:4802672,irmng:102755, extinct,barren
Onychorhynchidae, 7661006, gbif:10482010, sibling_higher,barren
Spiroporinidae, 6335740, gbif:8466374, major_rank_conflict,extinct,barren
Geopeltididae, 2872977, gbif:4621069,irmng:112237, hidden_inherited,extinct,barren
Donrichardsiaceae, 3865244, gbif:4905307,irmng:104519, sibling_higher,extinct,barren
Nanorthidae, 4164131, gbif:4869702,irmng:102391, extinct
Andinichthyidae, 6141673, gbif:8419853, sibling_higher,barren
Fuscosporellaceae, 7517985, ncbi:1963370, sibling_higher,merged,barren
Boluochidae, 4145032, gbif:4966929, major_rank_conflict,extinct,barren
Mesuropetalidae, 6323087, gbif:8528508, sibling_higher
Hapalocrinidae, 3648757, gbif:4874243,irmng:111791, major_rank_conflict,extinct
Dromasauridae, 6138557, gbif:8640593, major_rank_conflict,extinct,barren
Traquairiidae, 6375971, gbif:8688851, major_rank_conflict,extinct
Compsasteridae, 3657284, gbif:4872710,irmng:117998, extinct
Codonospermaceae, 7577622, gbif:8532480, major_rank_conflict,barren
Glacidorbidae, 849660, worms:382221,ncbi:356152,gbif:5523,irmng:105935, incertae_sedis_inherited
Lithoneuridae, 6323856, gbif:8467464, major_rank_conflict,extinct,barren
Zhijinitidae, 4721661, gbif:4578837,irmng:103339, major_rank_conflict,extinct
Cryptoporocyathidae, 2843763, gbif:4581710, major_rank_conflict,barren
Pleromatidae, 2842963, gbif:4582890,irmng:118520, major_rank_conflict,extinct
Gobiatidae, 3620484, gbif:4816907,irmng:116666, sibling_higher
Neonyctotheridae, 4923076, gbif:8250671,irmng:115930, major_rank_conflict,barren
Cavaspongiidae, 4004755, gbif:4907301,irmng:117567, extinct
Praethecacinetidae, 2828998, worms:425482,gbif:7425583,irmng:119591, sibling_higher,barren
Furidae, 3644091, gbif:4838357,irmng:117505, sibling_higher,extinct
Leaiidae, 5093779, gbif:3255589,irmng:110739, sibling_higher,extinct
Protopanorpidae, 4664984, gbif:4683993,irmng:102113, extinct,barren
Isometopidae, 4224106, gbif:4775200,irmng:102159, sibling_higher,barren
Trapezoidellidae, 5324559, worms:715792,gbif:8025815,irmng:121821, extinct
Tephromelataceae, 5343050, if:81453,ncbi:1075313,worms:438941,gbif:8357,irmng:117717, sibling_higher,barren
Palaeodontidae, 4145126, gbif:6142097, major_rank_conflict,extinct,barren
Brachyceritidae, 6287045, gbif:7549922, sibling_higher,barren
Auridistomatidae, 3670262, gbif:4862030,irmng:111556, sibling_higher,barren
Umbilicariomycetidae, 5348980, ncbi:1520791,worms:956815, sibling_higher,merged,barren
Eocharaceae, 4734082, gbif:4904763,irmng:102941, extinct,barren
Totiglobidae, 3649206, gbif:4873512,irmng:101987, major_rank_conflict,extinct,barren
Sarrotriidae, 6375696, gbif:8104540, major_rank_conflict,barren
Coenholectypidae, 3650816, worms:510659,gbif:6474292,irmng:121668, unplaced_inherited,extinct
Trigonalyidae, 4578621, gbif:4679768, merged,barren
Celaenidae, 6138200, gbif:8125856, major_rank_conflict,barren
Oxylebiidae, 7653731, gbif:9352240, major_rank_conflict,extinct,barren
Trilophosauridae, 4129900, gbif:4818149,irmng:112142, unplaced,major_rank_conflict,extinct
Curimostomatidae, 4029982, gbif:7608908,irmng:113144, sibling_higher,barren
Pachyporidae, 5142512, gbif:3250580,irmng:103917, major_rank_conflict,extinct
Tiviidae, 5020250, gbif:6880593,irmng:120378, sibling_higher,extinct,barren
Kumongidae, 5703110, worms:740646,gbif:7958044, barren
Probascanionidae, 7876004, gbif:9452349, sibling_higher,extinct
Candoiidae, 7665616, gbif:9397098, barren
Mysidiellidae, 4968092, worms:833120,gbif:3248131,irmng:101254, extinct,barren
Triphoridae, 303805, worms:131,ncbi:1273271,gbif:2660,irmng:114396, incertae_sedis_inherited,hidden_inherited
Koktjubinidae, 8022080, gbif:9758654, major_rank_conflict
Bulleribasidiaceae, 6382493, ncbi:1884640,gbif:9675359, inconsistent,barren
Lituitidae, 4955049, gbif:3246128,irmng:101275, major_rank_conflict,extinct
Dapisostemonaceae, 5993500, ncbi:1914257, unplaced
Schizocoleidae, 5089038, gbif:6758179,irmng:119953, sibling_higher,extinct
Pharciceratidae, 2873264, gbif:4624860,irmng:100888, sibling_higher,extinct
Sphenodiscidae, 4955081, gbif:3245893,irmng:100737, sibling_higher,extinct
Ctedectomatidae, 2826390, gbif:8191244, sibling_higher,merged,barren
Chaniellidae, 7921433, gbif:9487402, sibling_higher
Mesodontidae, 6372987, gbif:7895374, major_rank_conflict,barren
Brontotheridae, 6146893, gbif:9615831, major_rank_conflict,extinct
Helcionellidae, 4968985, gbif:3246229,irmng:113161, major_rank_conflict,extinct
Vatacaridae, 4702687, gbif:4666320,irmng:115512, major_rank_conflict
Hollinidae, 5742517, worms:715571,gbif:4808267,irmng:101403, sibling_higher,extinct
Cytoraceidae, 2839854, gbif:4581763,irmng:104603, sibling_higher,extinct
Belodiniaceae, 8011080, gbif:9880791, sibling_higher,barren
Reichelinidae, 8013666, gbif:9751381, incertae_sedis_inherited,major_rank_conflict,inconsistent,extinct_inherited,barren
Albionbaataridae, 3617414, gbif:4831418,irmng:103978, major_rank_conflict,extinct
Mecochiridae, 5090646, gbif:3254258,irmng:111683, sibling_higher,extinct
Hemieridotrypidae, 4152414, gbif:4856451,irmng:112717, extinct,barren
Eestilepididae, 6138587, gbif:8448100, major_rank_conflict,extinct
Solenomorphidae, 5681066, worms:833393,gbif:7537691, incertae_sedis_inherited,extinct,barren
Angelidae, 7901745, gbif:8130229, merged,barren
Globocephalidae, 6163723, gbif:4281865, sibling_higher,barren
Rhopalodontidae, 7657655, gbif:9267237, unplaced,major_rank_conflict,extinct
Sigmocoscinidae, 4721256, gbif:4814266,irmng:104083, major_rank_conflict,extinct,barren
Segnosauridae, 4128375, gbif:4822730,irmng:116813, extinct,barren
Kolymiidae, 4967887, worms:833126,gbif:3248066,irmng:118416, extinct
Nannorhynchididae, 5682155, worms:819476,gbif:7936425, merged,barren
Eurymylidae, 4945247, gbif:3239854,irmng:102512, major_rank_conflict,extinct
Tetracystaceae, 4735274, worms:599615,gbif:6333, incertae_sedis,merged,barren
Triassocoridae, 4664284, gbif:4682962,irmng:112712, sibling_higher,extinct
Karanabidae, 4222183, gbif:4772001,irmng:112465, sibling_higher,extinct,barren
Saharopteridae, 7937047, gbif:9602160, major_rank_conflict,extinct,barren
Aegiromenidae, 6327629, gbif:8631817, major_rank_conflict,barren
Eoblattidae, 5020247, gbif:6757579,irmng:120374, extinct
Telestidae, 552147, gbif:4283787,irmng:109215, sibling_higher,barren
Mesochitonidae, 7985458, gbif:10294984, sibling_higher,barren
Gallioscorpionidae, 6175585, gbif:8700224, sibling_higher,extinct
Elasmodemidae, 5023223, gbif:3265496,irmng:116596, sibling_higher,barren
Prymnesiaceae, 928328, ncbi:418967,worms:115073,gbif:2910,irmng:108818, inconsistent,barren
Sterolibacteriaceae, 7030308, ncbi:2008793, merged,barren
Errhomenellidae, 4227328, gbif:4779770,irmng:117316, sibling_higher,barren
Argyrolagidae, 3606868, gbif:4826404,irmng:102296, extinct
Attaphilidae, 5020292, gbif:6928107,irmng:120107, sibling_higher,extinct,barren
Proteremidae, 6292312, gbif:8485774, sibling_higher,extinct,barren
Choanitidae, 2840993, gbif:4305570,irmng:106326, sibling_higher,barren
Tournayellidae, 4803115, worms:720909,gbif:7587945,irmng:112062, incertae_sedis_inherited,extinct
Aurearenaceae, 5585513, worms:590474,gbif:4908355,irmng:119550, sibling_higher,merged,barren
Golubeviaceae, 6382792, ncbi:1904612,gbif:9816567, sibling_higher,merged,barren
Halecidae, 4949207, gbif:3238375,irmng:101198, sibling_higher,extinct
Gigantorhynchidae, 6326179, ncbi:60526,gbif:3243082, barren
Endotheriidae, 4944200, gbif:4825890,irmng:102272, major_rank_conflict,extinct
Besanosauridae, 7657318, gbif:8438130, unplaced,major_rank_conflict,extinct
Callodictyonidae, 2833815, gbif:4580742,irmng:117402, extinct
Anadromidae, 2915618, worms:833937,gbif:4599685,irmng:112894, incertae_sedis,extinct
Sparassocynidae, 3606811, gbif:4825550,irmng:103725, sibling_higher,extinct
Hoffeinsmyiidae, 6265720, gbif:8580230, sibling_higher
Italophlebiidae, 3012591, gbif:4798030,irmng:102748, sibling_higher,extinct,barren
Siphonocryptidae, 4173159, worms:888779,gbif:8247,irmng:111137, unplaced_inherited
Trematochampsidae, 3605988, gbif:4822287,irmng:104316, extinct
Siphogonuchitidae, 4720219, gbif:4579223,irmng:101943, major_rank_conflict,extinct
Celyphiidae, 4939814, gbif:3251797,irmng:103936, major_rank_conflict,extinct
Tritaxidae, 4804060, gbif:6123240, major_rank_conflict
Carcassonnellidae, 2849820, gbif:4583954,irmng:117487, major_rank_conflict,extinct
Spinagnostidae, 4710731, gbif:4639162,irmng:116379, extinct
Plesiotrichopidae, 374670, ncbi:693918,worms:425465,gbif:8011204,irmng:112803, sibling_higher,inconsistent,barren
Milananguillidae, 3643802, gbif:4839601,irmng:101522, extinct
Dichograptidae, 4940292, gbif:3243124,irmng:116084, major_rank_conflict,extinct
Cystispongiidae, 6375039, gbif:8512791, major_rank_conflict,extinct,barren
Seliscothonidae, 2842731, gbif:4583356,irmng:119070, sibling_higher,extinct
Ellipsocephalidae, 5129019, gbif:3266902,irmng:117080, extinct
Eucyclidae, 7983362, irmng:117326, sibling_higher,hidden,extinct,barren
Eocoraciidae, 3596461, gbif:4843800,irmng:118576, sibling_higher,extinct
Rhodothamniellaceae, 599681, ncbi:39579,worms:143763,gbif:4947,irmng:105858, sibling_higher,merged,barren
Ichthyotringidae, 4949206, gbif:3238373,irmng:101199, sibling_higher,extinct
Ictidosuchopsidae, 7667611, gbif:9590200, major_rank_conflict,extinct,barren
Botomocyathidae, 4719664, gbif:4814165,irmng:103888, major_rank_conflict,extinct,barren
Aspeniaceae, 6004299, gbif:7643098, sibling_higher,barren
Arachnopezizaceae, 6379283, gbif:8377363, merged,barren
Amoebidae, 962358, ncbi:35218,worms:22720,gbif:5864,irmng:114532, merged,barren
Enchelyodontidae, 2825140, gbif:8136848,irmng:100735, sibling_higher,barren
Pelagiellidae, 2849701, worms:833698,gbif:4583926,irmng:118320, incertae_sedis_inherited,extinct
Captorhinidae, 4948118, gbif:3239057,irmng:117171, sibling_higher,extinct
Euhellidae, 4715334, gbif:4944955, sibling_higher,extinct,barren
Sinucostidae, 2933560, gbif:4867668,irmng:119142, extinct
Pyruspongiidae, 2843221, gbif:4580080,irmng:112258, extinct
Araeoscelididae, 4946697, gbif:3238647,irmng:116717, unplaced,major_rank_conflict,extinct,barren
Hermesinidae, 5157653, gbif:3235208, sibling_higher,inconsistent,barren
Eothyrididae, 4126972, gbif:4819460,irmng:116288, unplaced,major_rank_conflict,extinct
Nemobiidae, 4187905, gbif:6135004, sibling_higher,barren
Xenospadicoidaceae, 7520262, ncbi:2081777,gbif:9814881, sibling_higher,inconsistent,barren
Endecatomidae, 3325685, gbif:7827,irmng:119946, sibling_higher,barren
Pseudoniscidae, 4710783, gbif:4666738,irmng:100961, sibling_higher,extinct,barren
Derorhynchidae, 6143276, gbif:8606095, sibling_higher
Osmylopsychopidae, 3018487, gbif:4803800,irmng:101711, sibling_higher,extinct
Carinacyathidae, 4719881, gbif:4814124,irmng:101898, major_rank_conflict,extinct,barren
Siphluriscidae, 5015413, gbif:7197022, merged,barren
Beidazoonidae, 4719673, gbif:4870895,irmng:103396, major_rank_conflict,extinct
Fuscheriidae, 2825115, gbif:8065275,irmng:100166, sibling_higher,merged,barren
Peraclididae, 2883965, gbif:6523, major_rank_conflict,barren
Chersidae, 7663867, gbif:9388846, sibling_higher,extinct,barren
Mylagaulidae, 3610002, gbif:4828114,irmng:102975, sibling_higher,extinct
Clistoceratidae, 2872907, gbif:4627570,irmng:117985, sibling_higher,extinct,barren
Surenitidae, 2869483, gbif:4627548,irmng:119378, sibling_higher,extinct,barren
Syringostromellidae, 4939920, gbif:3251637,irmng:102118, major_rank_conflict,extinct
Chrysothricaceae, 5343087, if:80592,gbif:8362, barren
Scyphocrinitidae, 4950888, gbif:3249978,irmng:119065, major_rank_conflict,extinct
Gouldoceratidae, 2873767, gbif:4624654,irmng:101717, sibling_higher,extinct,barren
Dactylostomatidae, 4806115, gbif:7376344, unplaced
Atriboniidae, 2932102, gbif:4865927,irmng:110674, sibling_higher,extinct,barren
Cassianoididae, 2865368, gbif:4586882,irmng:117495, sibling_higher,extinct
Mactromyidae, 2861220, worms:833287,gbif:4305293,irmng:115928, extinct
Pachycormidae, 4949503, gbif:3238461,irmng:104168, major_rank_conflict,extinct
Pontostratiotidae, 5743266, worms:853521,gbif:7960547, sibling_higher,barren
Praentomobryidae, 5010023, gbif:4289829, sibling_higher,barren
Aulacogastrioceratidae, 2872441, gbif:4947353, sibling_higher,extinct,barren
Ityophoridae, 4709961, gbif:4635425,irmng:103108, extinct
Opiuridae, 3655854, gbif:6135653, major_rank_conflict,barren
Plicatostylidae, 2866437, worms:833161,gbif:4592788,irmng:111606, extinct,barren
Uddenitidae, 2873849, gbif:4627103,irmng:119623, sibling_higher,extinct,barren
Trichosphaeriidae, 4806300, gbif:4378336,irmng:113394, barren
Esthonioporidae, 4152314, gbif:4856671,irmng:102794, extinct
Cermatobiidae, 3518683, gbif:4668277,irmng:110858, barren
Eopsilodercidae, 7688465, gbif:8555761, sibling_higher
Cheiridididae, 7689926, gbif:9379667, sibling_higher,barren
Endocladiaceae, 99776, ncbi:2814,worms:368772,gbif:9002,irmng:107412, sibling_higher,merged,barren
Neusticosauridae, 4143653, gbif:6141976, unplaced,major_rank_conflict,extinct,barren
Spinomersinellidae, 4020220, gbif:4893639,irmng:119443, sibling_higher,extinct
Eoglyptograptidae, 3660248, gbif:4863353,irmng:102930, major_rank_conflict,extinct,barren
Innaechiidae, 2931877, gbif:4867259,irmng:103021, sibling_higher,extinct
Englathaumatidae, 6288710, gbif:8493489, extinct
Pollicinidae, 2849687, gbif:4583960,irmng:118527, major_rank_conflict,extinct
Pisorisporiaceae, 5682600, ncbi:1588758,gbif:8237719, incertae_sedis_inherited
Metoptomatidae, 2849704, worms:833691,gbif:4584010,irmng:112423, major_rank_conflict,extinct
Leimacopsidae, 3672047, worms:479240,gbif:6481638,irmng:121491, incertae_sedis,barren
Hexactinomyxidae, 631124, gbif:4579880,irmng:113960, major_rank_conflict,barren
Moschopidae, 4141566, gbif:6142084, unplaced,major_rank_conflict,extinct,barren
Selenothemidae, 6323256, gbif:9397280, sibling_higher,extinct
Actinastreidae, 4715584, gbif:4879183,irmng:117979, sibling_higher,extinct
Xiangxiellidae, 7693749, gbif:9568955, sibling_higher,barren
Geranopteridae, 3596471, gbif:4843865,irmng:117517, sibling_higher,extinct
Gemmelleroiidae, 4164331, gbif:4870128,irmng:117515, extinct,barren
Arctostylopidae, 3616319, gbif:4826681,irmng:102294, major_rank_conflict,extinct
Dwykiidae, 4142010, gbif:4837112,irmng:101313, major_rank_conflict,extinct,barren
Cyphoneuridae, 6193565, gbif:8587898, major_rank_conflict,extinct,barren
Achnanthaceae, 166701, ncbi:216726,worms:149190,gbif:8015706,irmng:104251, sibling_higher,merged,barren
Psilodercidae, 7688390, gbif:9849330, inconsistent,barren
Truncatellinidae, 551074, ncbi:265218,gbif:9590609, merged,barren
Scaniornithidae, 3605518, gbif:4848574,irmng:100811, sibling_higher,extinct
Bradycnemidae, 3602797, gbif:4966710, sibling_higher,extinct,barren
Bojobactritidae, 2870148, gbif:4624690,irmng:112932, sibling_higher,extinct,barren
Antijaniridae, 5681035, worms:833182,gbif:7722681, extinct,barren
Puzosiidae, 6351973, gbif:8573051, sibling_higher,extinct,barren
Meekoceratidae, 4954914, gbif:3245981,irmng:118977, sibling_higher,extinct
Raphiosauridae, 7649658, gbif:9493349, extinct,barren
Eoctonidae, 5124560, gbif:6880361,irmng:120190, sibling_higher,extinct
Dipteridae, 4948662, gbif:3238258,irmng:103616, sibling_higher,extinct
Nemastomataceae, 168822, ncbi:173458,worms:143736,gbif:4939,irmng:106146, sibling_higher,merged,barren
Paoliidae, 4664403, gbif:4709552,irmng:111505, extinct
Neoredlichiidae, 5129799, gbif:3266999,irmng:116220, extinct
Abronicidae, 7960283, gbif:9563844, merged,barren
Valcouroceratidae, 2868867, gbif:4623505,irmng:112952, sibling_higher,extinct
Trapezovitidae, 4719579, gbif:4863778, major_rank_conflict,barren
Glyptorthidae, 2933608, gbif:4870595,irmng:117847, extinct
Cistugidae, 6146499, gbif:7872440, merged,barren
Austrolimulidae, 4710541, gbif:4667249,irmng:102376, sibling_higher,extinct,barren
Conjungaspidae, 4980051, worms:233988,gbif:2048,irmng:118000, incertae_sedis,extinct
Syringostromatidae, 2842701, gbif:4580298,irmng:102117, major_rank_conflict,extinct
Hydraspididae, 7664089, gbif:9495105, sibling_higher,extinct,barren
Acaryochloridaceae, 5586374, ncbi:1890429,worms:573250,gbif:4903546,irmng:119690, sibling_higher,merged,barren
Dithecodendridae, 3660349, gbif:4862795,irmng:118466, extinct
Loculicyathidae, 4721878, gbif:4814510,irmng:112724, major_rank_conflict,extinct,barren
Saikraconchidae, 5681046, worms:833115,gbif:8222654, extinct,barren
Ophrydiidae, 756155, ncbi:168249,gbif:7412699,irmng:113751, sibling_higher,merged,barren
Schizostomatidae, 6375706, gbif:8074651, major_rank_conflict,barren
Chernyshinellidae, 4803234, gbif:7726109,irmng:117578, sibling_higher,inconsistent,barren
Giraudiaceae, 5248731, worms:143711,gbif:3236420,irmng:107850, barren
Rissoellaceae, 217998, ncbi:257593,worms:143740,gbif:4942,irmng:109036, sibling_higher,merged,barren
Capnuchosphaeridae, 4004762, gbif:4907457,irmng:117484, extinct
Aglaspididae, 3581660, gbif:4632808,irmng:103663, major_rank_conflict,extinct
Clavofabellinidae, 6191267, worms:877120,gbif:8694191, sibling_higher,extinct,barren
Cratovitismidae, 6291994, gbif:8444976, sibling_higher,extinct
Drakonochoristidae, 7870335, gbif:9484892, barren
Diatomyidae, 3610030, gbif:4828821,irmng:116765, merged,barren
Pinnoputamenaceae, 4734084, gbif:4896270,irmng:102939, sibling_higher,extinct,barren
Wallowaconchidae, 2865882, worms:833311,gbif:4592083,irmng:118605, extinct,barren
Gonioloboceratidae, 2869034, gbif:4623998,irmng:112241, sibling_higher,extinct
Ceromyidae, 6138220, gbif:7454076, major_rank_conflict,barren
Lomentariaceae, 209223, ncbi:31498,worms:143775,gbif:4950,irmng:106111, sibling_higher,merged,barren
Motilibacteraceae, 5286597, ncbi:1433378,gbif:8787436, sibling_higher,merged,barren
Anamesocrinidae, 3648190, gbif:4874850,irmng:102410, major_rank_conflict,extinct,barren
Tamaroclemidae, 4151548, gbif:4856428,irmng:104481, sibling_higher,extinct,barren
Mojsisovicsiidae, 2868930, gbif:4627893,irmng:112323, sibling_higher,extinct,barren
Sachitidae, 4719718, gbif:4579106,irmng:102416, major_rank_conflict,major_rank_conflict_inherited,extinct
Hemingwayidae, 6140447, gbif:8003662, sibling_higher
Girtyoceratidae, 4955305, gbif:3245591,irmng:112238, sibling_higher,extinct
Geolabididae, 4943730, gbif:3239394,irmng:111849, major_rank_conflict,extinct
Palaeonemouridae, 5019206, gbif:4383320,irmng:102544, sibling_higher,extinct
Stoastomatidae, 8001904, gbif:4983750, major_rank_conflict,extinct,barren
Seligeraceae, 5151632, gbif:3229934,irmng:105621, sibling_higher,barren
Spinocyrtiidae, 2933573, gbif:4864752,irmng:102459, extinct
Paleoparadoxidae, 7654079, gbif:9339855, major_rank_conflict,extinct,barren
Encheliidae, 7649554, gbif:9266221, extinct,barren
Jereidae, 2839765, gbif:4581878,irmng:104599, sibling_higher,extinct
Austriadraconidae, 6148576, gbif:8635451, extinct_inherited
Aacanthocolpidae, 6367117, gbif:8471701, major_rank_conflict,barren
Ningxiapsychidae, 6201405, gbif:8512801, sibling_higher,extinct
Marynidae, 603367, ncbi:459266,worms:414841,gbif:8368596,irmng:113430, sibling_higher,merged,barren
Pachydomellidae, 2970571, worms:715805,gbif:4806670,irmng:102516, sibling_higher,extinct
Juncigenaceae, 5677529, ncbi:1535432,gbif:8219434, sibling_higher,merged,barren
Philogangidae, 7905810, gbif:10579794, sibling_higher,barren
Autuniaceae, 6000707, gbif:8601152, major_rank_conflict,extinct_inherited
Ventrygyridae, 2969908, gbif:4806792,irmng:102754, sibling_higher,extinct,barren
Medlicottiidae, 2869390, gbif:4625226,irmng:112320, sibling_higher,extinct
Pansomonadidae, 7529645, ncbi:2586442,gbif:9609097, merged,barren
Garnettiidae, 5124492, gbif:6894978,irmng:120191, sibling_higher,extinct,barren
Moellerinaceae, 4734094, gbif:4898433,irmng:102937, major_rank_conflict,extinct,barren
Patavichthidae, 6140100, gbif:8310823, barren
Concornithidae, 4140272, gbif:4966934, major_rank_conflict,extinct,barren
Dentoceratidae, 6348934, gbif:8451176, sibling_higher,extinct,barren
