name, ottid, sources, flags
Sellaclymeniidae, 2869073, gbif:4621321,irmng:112624, sibling_higher,extinct
Maximitidae, 2870206, gbif:4623731,irmng:112319, sibling_higher,extinct
Tupilakosauridae, 3621033, gbif:4815747,irmng:117031, major_rank_conflict,extinct
Clastidiaceae, 4017597, gbif:4306726, sibling_higher,merged,hidden,barren
Isthmosacanthidae, 6326245, worms:872648,gbif:8287591, merged,barren
Asymmetrinidae, 4803874, worms:720935,gbif:7988846,irmng:110694, extinct
Armintomyidae, 3610157, gbif:4828183,irmng:102297, sibling_higher,extinct
Pseudocardiniidae, 2851778, worms:833245,gbif:4593008,irmng:112898, extinct
Toernquistiidae, 4705534, gbif:4637750,irmng:119510, extinct,barren
Bolliidae, 5093635, worms:715758,gbif:3254984,irmng:111732, sibling_higher,extinct
Ophiothricidae, 7071670, gbif:4305467, merged,barren
Paratitanidae, 4188195, gbif:4403502,irmng:101907, sibling_higher,extinct
Cyclodesmidae, 7692076, gbif:9290510, sibling_higher,barren
Deltopylidae, 93561, ncbi:863764,gbif:9517360, sibling_higher,merged,barren
Ceratoikiscidae, 4020593, gbif:8078842,irmng:114802, major_rank_conflict
Caprinuloideidae, 6337931, worms:872686,gbif:8513942, extinct
Carpopenaeidae, 4669101, gbif:4649142,irmng:117584, sibling_higher,extinct
Brachylaemidae, 5132707, gbif:3268395,irmng:115262, sibling_higher,barren
Cerioporidae, 4150986, worms:238300,gbif:1003805,irmng:115155, unplaced
Meliolomycetidae, 5344707, if:90518, barren
Diplocteniopsidae, 6369709, gbif:8544640, sibling_higher,extinct
Parabrodiidae, 4664935, gbif:4770218,irmng:111506, extinct
Haplosplanchidae, 5131696, gbif:3268628,irmng:118019, sibling_higher,barren
Nexospongiidae, 6375410, gbif:8607655, major_rank_conflict,extinct
Chrysoraphidiidae, 6290685, gbif:8537516, 
Anomalomyidae, 3611031, gbif:4972847, sibling_higher,extinct,barren
Dolichopteridae, 5128453, gbif:3255699,irmng:102593, major_rank_conflict,extinct
Diplograptidae, 4940481, gbif:3243117,irmng:116085, major_rank_conflict,extinct
Sharephemeridae, 5015458, gbif:6880595,irmng:120541, sibling_higher
Hamitidae, 2869629, gbif:4626781,irmng:100666, sibling_higher,extinct
Aneurophytaceae, 4738452, gbif:4909080,irmng:112050,irmng:112112, major_rank_conflict,merged,extinct,barren
Bashkiriidae, 4163388, gbif:4866192,irmng:101437, extinct,barren
Schidertycyathidae, 4722436, gbif:4814382,irmng:113233, major_rank_conflict,extinct,barren
Sonniniidae, 4955070, gbif:3245906,irmng:100804, sibling_higher,extinct
Cacurgidae, 4664315, gbif:4682986,irmng:103043, extinct
Asiatoceratodontidae, 3621401, gbif:4838233,irmng:118453, sibling_higher,extinct
Pseudoborniaceae, 3865930, gbif:4895273,irmng:112033, major_rank_conflict,extinct,barren
Dimorphosiphonaceae, 7643744, gbif:4982304, major_rank_conflict,extinct,barren
Orectospiridae, 2915725, gbif:6126103, major_rank_conflict,barren
Reticuloceratidae, 2869495, gbif:4623864,irmng:112911, sibling_higher,extinct
Plectronoceratidae, 2870766, gbif:4625140,irmng:101219, major_rank_conflict,extinct
Chytriodiniaceae, 21381, ncbi:650049,worms:109400,gbif:7838608,irmng:107226, sibling_higher,merged,barren
Barcinididae, 7508182, irmng:107264, merged,hidden,barren
Cercophanidae, 4324738, gbif:4703516,irmng:109573, sibling_higher,barren
Mootwingeecyathidae, 4721435, gbif:4814222,irmng:103687, major_rank_conflict,extinct,barren
Anomopterellidae, 4578487, gbif:4670956,irmng:118251, sibling_higher,extinct
Tribelesodontidae, 7657647, gbif:9460298, extinct,barren
Idahoiidae, 4706390, gbif:4635444,irmng:117121, sibling_higher,extinct
Codonellopsidae, 286696, ncbi:211020,worms:196206,gbif:8156282,irmng:113110, sibling_higher,merged,barren
Coleiidae, 5090794, gbif:3255716,irmng:106168, sibling_higher,extinct
Clausidae, 4152493, gbif:4856856,irmng:104018, sibling_higher,extinct
Acridoxenidae, 4188095, gbif:4711427,irmng:111212, sibling_higher,barren
Enchelyidae, 1013765, ncbi:197899,worms:163612,gbif:7530954,irmng:113002, sibling_higher,merged,barren
Majoceratidae, 2871831, gbif:4622163,irmng:101757, major_rank_conflict,extinct,barren
Actinodontophoridae, 2851764, gbif:4593151,irmng:112895, sibling_higher,extinct
Phenacodontidae, 4945550, gbif:3239507,irmng:103561, major_rank_conflict,extinct
Beornidae, 5004771, worms:955448,gbif:3127,irmng:104066, extinct
Trachelostylidae, 897465, ncbi:185583,worms:414907,gbif:7482626,irmng:105783, sibling_higher,inconsistent,barren
Noritidae, 2873907, gbif:4625149,irmng:112930, sibling_higher,extinct
Plectoceratidae, 2868890, gbif:4622247,irmng:101218, major_rank_conflict,extinct
Islandiellidae, 4804084, gbif:2347,irmng:113952, sibling_higher,barren
Leptotheuthididae, 2871967, gbif:4625004,irmng:112576, hidden_inherited,extinct,barren
Sphaeragnostidae, 4709553, gbif:4639418,irmng:116378, extinct
Craspedomonadidae, 4802424, gbif:4906277,irmng:114504, sibling_higher,barren
Conchopomidae, 6142921, gbif:4836957, major_rank_conflict,barren
Tarrasiidae, 4141643, gbif:4839015,irmng:101466, major_rank_conflict,extinct,barren
Chamaeleontidae, 5792480, gbif:4287378,irmng:112582, barren
Remizidae, 3599692, gbif:9344, sibling_higher,inconsistent,barren
Dendrocystitidae, 4950998, gbif:3249811,irmng:112725, major_rank_conflict,extinct
Heterosoricidae, 6143468, gbif:8653036, major_rank_conflict,barren
Kasyricyathidae, 2843651, gbif:4583622,irmng:113859, major_rank_conflict,extinct,barren
Protozaphrentidae, 4717378, gbif:4881769,irmng:119277, extinct
Lanthanosuchidae, 4126918, gbif:4823649,irmng:119020, unplaced,major_rank_conflict,extinct
Eustreptospondylidae, 4143639, gbif:4967075, sibling_higher,extinct,barren
Eobuthidae, 5124482, gbif:6880375,irmng:120434, sibling_higher,extinct
Licharewiidae, 4970752, gbif:4868502,irmng:117341, extinct
Oxycorynidae, 6234972, gbif:5502, sibling_higher,barren
Xystriduridae, 4705372, gbif:4636005,irmng:103982, extinct,barren
Mycenastraceae, 5423618, ncbi:90943, merged,barren
Palaeoaphididae, 4225909, gbif:4383661,irmng:111499, sibling_higher,extinct
Dianulitidae, 4152322, gbif:4856632,irmng:103708, extinct,barren
Scorpiopidae, 3540411, gbif:4303009, sibling_higher,barren
Ichthyocrinidae, 3649194, gbif:4874818,irmng:118298, major_rank_conflict,extinct,barren
Permanomiidae, 2865878, worms:833169,gbif:4594764,irmng:111548, extinct,barren
Circumphallidae, 7847316, gbif:9452179, sibling_higher,barren
Histionidae, 1051899, ncbi:556285,worms:599667,gbif:4900666,irmng:100130, merged,barren
Teguliferidae, 4164941, gbif:4864741,irmng:102565, extinct,barren
Odoribacteraceae, 5886158, ncbi:1853231,gbif:10543480, merged,barren
Megalancosauridae, 4145643, gbif:4967955, unplaced,major_rank_conflict,extinct,barren
Sphaerodontidae, 6375782, gbif:8685310, major_rank_conflict,extinct,barren
Pseudarchasteridae, 3657617, worms:292826,gbif:2067,irmng:117457, sibling_higher,merged,barren
Chrysocystaceae, 7561636, ncbi:2094171,gbif:10205407, merged,barren
Eobrachyopidae, 3620988, gbif:4815919,irmng:118575, major_rank_conflict,extinct
Buchitidae, 2873309, gbif:4626278,irmng:117393, sibling_higher,extinct
Haplophragmoididae, 4806469, worms:111963,gbif:4381213,irmng:101654, sibling_higher,inconsistent,barren
Tritoechiidae, 6335222, gbif:8474640, extinct_inherited
Triloculariidae, 5677402, worms:515797,gbif:2240,irmng:117077, barren
Chlamydodontidae, 331180, ncbi:238899,worms:163516,gbif:7895016,irmng:114769, sibling_higher,merged,barren
Agalliidae, 4227611, gbif:4780676,irmng:118059, sibling_higher,barren
Unionellidae, 5681082, worms:833259,gbif:7673868, extinct,barren
Mesoceratidae, 4955048, gbif:3246120,irmng:112321, sibling_higher,extinct,barren
Pterygometopidae, 5128987, gbif:3266802,irmng:115067, extinct
Mesopolystoechotidae, 3018439, gbif:4803897,irmng:101703, sibling_higher,extinct
Asmussiidae, 2960784, gbif:4304483,irmng:105732, sibling_higher,extinct,barren
Tyronellidae, 2934108, gbif:4864743,irmng:102571, extinct
Cyclestheridae, 7693469, gbif:4667979, major_rank_conflict,barren
Scrobiculidae, 2970658, worms:715771,gbif:4808485,irmng:105671, sibling_higher,extinct
Phytodiniaceae, 123114, ncbi:425788,worms:109440,gbif:8167715,irmng:107247, sibling_higher,merged,barren
Osmeroididae, 3643878, gbif:4841507,irmng:118033, extinct
Amorphoscelididae, 7481388, gbif:4514082,irmng:114752, barren
Eubaenidae, 3606520, gbif:4965138, sibling_higher,extinct,barren
Laxoendothyridae, 8015702, gbif:9507412, incertae_sedis_inherited,major_rank_conflict,inconsistent,extinct_inherited,barren
Stephanomonadaceae, 5561759, gbif:4893406,irmng:105202, unplaced,major_rank_conflict
Laetmonectidae, 4987646, worms:249737,gbif:1983, incertae_sedis
Rudolfoceratidae, 2872324, gbif:4946668, major_rank_conflict,extinct,barren
Glosselytridae, 4664461, gbif:4682941,irmng:102710, extinct
Rhegmatidae, 7653804, gbif:9604323, major_rank_conflict,extinct,barren
Decoritidae, 2869096, gbif:4626394,irmng:118280, sibling_higher,extinct,barren
Silesitidae, 4955567, gbif:3246034,irmng:111588, sibling_higher,extinct
Spongiophonidae, 5124442, gbif:6880323,irmng:120200, sibling_higher,extinct,barren
Halysitidae, 4717047, gbif:4882944,irmng:111748, major_rank_conflict,extinct
Holoclemensiidae, 4945489, gbif:3240487,irmng:102062, major_rank_conflict,extinct
Canadiidae, 4988229, gbif:4810531,irmng:105733, major_rank_conflict,extinct,barren
Hemizygopteridae, 6323710, gbif:8545284, major_rank_conflict,extinct
Flacourtiaceae, 7580840, gbif:9725603, major_rank_conflict
Aztecodontidae, 6138062, gbif:8577722, major_rank_conflict
Mingotheriidae, 4949954, gbif:6142033, major_rank_conflict,barren
Flammocladiaceae, 8006520, gbif:9682506, barren
Tshekardoperlidae, 5017314, gbif:4383197,irmng:112077, sibling_higher,extinct
Trinucleidae, 5130225, gbif:3267107,irmng:116894, sibling_higher,extinct
Triemilomatellidae, 6192596, worms:877129,gbif:8533399, sibling_higher,extinct,barren
Marsupiocrinidae, 4950877, gbif:3249970,irmng:117536, major_rank_conflict,extinct
Tubidendridae, 4940665, worms:579920,gbif:3355,irmng:102465,irmng:107992, extinct
Rhizamminidae, 4804014, worms:737022,gbif:7382379,irmng:115986, sibling_higher,merged,barren
Kobyastraeidae, 4715703, gbif:4879392,irmng:118414, sibling_higher,extinct
Paleuthygrammatidae, 4664629, gbif:4770176,irmng:111504, extinct,barren
Methanoplanaceae, 4018600, irmng:106672, major_rank_conflict,hidden,barren
Camerothecidae, 4968819, gbif:3248507,irmng:113643, major_rank_conflict,extinct,barren
Ohleriaceae, 8003825, gbif:10060762, sibling_higher,barren
Lamellaptychidae, 7941390, gbif:9302345, major_rank_conflict
Mesogereonidae, 4221187, gbif:4777195,irmng:112871, sibling_higher,extinct
Lepidesthidae, 3650865, worms:689326,gbif:4876733,irmng:117255, sibling_higher,extinct
Potamogalidae, 4140522, gbif:6142005, major_rank_conflict,extinct
Yuomyidae, 4941173, gbif:3240701,irmng:103551, sibling_higher,extinct
Neostacheoceratidae, 2870369, gbif:4627355,irmng:117790, sibling_higher,extinct
Travisiidae, 5681352, worms:322534,gbif:8581307, merged,barren
Phororhacidae, 3600050, gbif:4852238,irmng:100816, sibling_higher,extinct,barren
Belemnotheutidae, 7940916, gbif:9354966, sibling_higher,extinct
Eskimoceratidae, 2872111, gbif:4622065,irmng:117320, major_rank_conflict,extinct,barren
Cloristellidae, 2886419, gbif:4304805, major_rank_conflict,barren
Berkhoceratidae, 2871030, gbif:4623688,irmng:112219, sibling_higher,extinct
Limnodynastidae, 3620443, gbif:6740,irmng:106095, inconsistent,barren
Proteopithecidae, 3607922, gbif:4827472,irmng:106468, sibling_higher,extinct
Unumidae, 4019910, gbif:4891971,irmng:118588, sibling_higher,extinct
Eleidae, 4953670, gbif:3267827,irmng:103712, sibling_higher,extinct
Necrocarcinidae, 4669071, gbif:4646603,irmng:117763, sibling_higher,extinct
